0027775	Precious: Based on the Novel 'Push' by Sapphire	10/31/2020
0021525	Pride & Prejudice	8/31/2020
0031754	Project Nim	1/31/2020
0034791	Promised Land	9/30/2020
0002276	Psycho	8/31/2020
0013501	Pulp Fiction	7/31/2020
0056360	Queen of Katwe	9/30/2019
0013467	Quiz Show	8/31/2020
0012195	Quo Vadis?	7/31/2020
0035096	ROOTS - EPISODE 1	1/31/2020
0035097	ROOTS - EPISODE 2	1/31/2020
0018828	Rabbit-Proof Fence	8/31/2020
0054716	Race	10/31/2020
0000888	Radio Days	12/31/2019
0011155	Raging Bull	8/31/2020
0023343	Ratatouille	1/31/2020
0058040	Ready Player One	8/31/2020
0004090	Rear Window	8/31/2020
0018041	Rebecca	7/31/2020
0002151	Rebel Without a Cause	8/31/2020
0027779	Red Cliff	8/31/2020
0012211	Red River	7/31/2020
0017601	Remember the Titans	10/31/2020
0021539	Rent	1/31/2020
0016659	Return to Paradise	3/31/2020
0016248	Richard Burton Double: The Spy Who Came In From The Cold	1/31/2020
0013904	Richard III	12/31/2019
0021318	Rize	1/31/2020
0058245	Robin Hood	9/30/2020
0029487	Robin Hood	10/31/2020
0004744	Robin Hood: Prince of Thieves	10/31/2020
0011162	Rocky	8/31/2020
0000658	Roger & Me	10/31/2019
0056579	Rogue One: A Star Wars Story	3/31/2020
0022113	Rush Hour	12/31/2019
0031543	Sarah's Key	12/31/2019
0004675	Saturday Night Fever	1/31/2020
0028170	Saving Face	8/31/2020
0016372	Saving Private Ryan	9/30/2019
0013434	Schindler's List	8/31/2020
0003776	School Daze	8/31/2020
0015303	Selena	4/30/2020
0059242	Selma	12/31/2019
0012297	Shaft	8/31/2020
0017505	Shaft	2/28/2020
0016278	Shakespeare in Love	9/30/2020
0021897	She's the Man	1/31/2020
0026476	Sherlock Holmes	11/30/2019
0032290	Sherlock Holmes: A Game of Shadows	11/30/2019
0012313	Show Boat	1/31/2020
0014010	Showgirls	10/31/2020
0024997	Sin Nombre	8/31/2020
0011171	Singin' in the Rain	10/31/2020
0041502	Skyfall	1/31/2020
0016205	Smoke Signals	8/31/2020
0017159	Snow Falling on Cedars	8/31/2020
0003335	Snow White and the Seven Dwarfs	8/31/2020
0049374	Snowpiercer	8/31/2020
0011173	Some Like It Hot	7/31/2020
0058209	Sorry to Bother You	10/31/2019
0001513	Spartacus	9/30/2020
0018039	Spellbound	8/31/2020
0026230	Star Trek	1/31/2020
0002685	Strangers on a Train	8/31/2020
0059896	Suffragette	8/31/2020
0010077	Sunset Boulevard	7/31/2020
0024118	Sweeney Todd: The Demon Barber of Fleet Street	1/31/2020
0012417	Sweet Smell of Success	8/31/2020
0013221	Swing Kids	1/31/2020
0059323	Tangerine	10/31/2020
0016879	Teen Wolf	8/31/2020
0013686	The Adventures of Priscilla Queen of the Desert	6/30/2020
0011006	The Adventures of Robin Hood	7/31/2020
0023360	The Assassination of Jesse James by the Coward Robert Ford	11/30/2019
0020644	The Best of Youth	8/31/2020
0002830	The Big Heat	8/31/2020
0054579	The Big Short	9/30/2020
0011017	The Big Sleep	8/31/2020
0027791	The Blind Side	2/28/2020
0026914	The Box	12/31/2019
0003749	The Breakfast Club	8/31/2020
0002314	The China Syndrome	9/30/2019
0003666	The Color Purple	2/28/2020
0026921	The Cove	8/31/2020
0015113	The Crimson Kimono	10/31/2019
0022773	The Departed	7/31/2020
0024223	The Diving Bell and the Butterfly	8/31/2020
0010023	The Elephant Man	7/31/2020
0017709	The Family Man	1/31/2020
0015238	The Fifth Element	1/31/2020
0016131	The Godfather	7/31/2020
0010170	The Godfather Part II	11/30/2019
0036470	The Grandmaster	8/31/2020
0034956	The Great Gatsby	12/31/2019
0017146	The Green Mile	2/28/2020
0011074	The Haunting	7/31/2020
0031344	The Help	12/31/2019
0022833	The Host	8/31/2020
0019149	The Hours	9/30/2019
0019330	The Hunted	1/31/2020
0033189	The Hunter	7/31/2020
0026903	The Hurt Locker	8/31/2020
0049630	The Imitation Game	1/31/2020
0017047	The Insider	12/31/2019
0034361	The Intouchables	12/31/2019
0012659	The Jazz Singer	8/31/2020
0013315	The Joy Luck Club	12/31/2019
0001832	The Killers	7/31/2020
0030583	The King's Speech	10/31/2020
0036856	The LEGO Movie	8/31/2020
0000800	The Little Mermaid	10/31/2019
0028189	The Lovely Bones	12/31/2019
0019618	The Magdalene Sisters	9/30/2020
0011939	The Magnificent Seven	12/31/2019
0011113	The Maltese Falcon	8/31/2020
0011115	The Manchurian Candidate	8/31/2020
0016575	The Matrix	12/31/2019
0036684	The Monuments Men	8/31/2020
0020646	The Motorcycle Diaries	7/31/2020
0013634	The Nasty Girl	8/31/2020
0022142	The New World	7/31/2020
0029612	The Official Story	8/31/2020
0018072	The Others	9/30/2020
0002517	The Outlaw Josey Wales	8/31/2020
0016660	The Parallax View	8/31/2020
0014904	The People vs. Larry Flynt	9/30/2020
0014045	The Perez Family	7/31/2020
0034878	The Perks of Being a Wallflower	7/31/2020
0022782	The Prestige	12/31/2019
